,Unnamed: 0,Predicted Time to Completion,Time Elapsed
0,0,23.19638324,0.025659716
1,1,12.54088552,0.027745322
2,2,9.151834696,0.030371133
3,3,7.361431236,0.032572705
4,4,6.264179048,0.034647008
5,5,5.56364022,0.036926816
6,6,5.21242345,0.040361686
7,7,4.856530937,0.04297815
8,8,16.65555771,0.165818605
9,9,30.7797181,0.340483607
10,10,35.59099782,0.433076301
11,11,32.82205436,0.435690987
12,12,34.61971149,0.497849833
13,13,32.32308623,0.500578769
14,14,38.62536306,0.640907573
15,15,36.33599235,0.643114909
16,16,34.30741768,0.645161616
17,17,34.9473592,0.695854497
18,18,33.21107868,0.698020459
19,19,31.6555423,0.700343856
20,20,30.24793915,0.702662303
21,21,34.28817266,0.83444668
22,22,43.68838738,1.111540829
23,23,44.73904956,1.187762378
24,24,51.49192519,1.424002356
25,25,78.17708651,2.248456028
26,26,107.2383246,3.202914563
27,27,119.6363037,3.705549228
28,28,120.154119,3.854501605
29,29,118.2160857,3.923100189
30,30,119.01638,4.081313915
31,31,117.4471711,4.157421987
32,32,119.2292885,4.352396594
33,33,121.1605775,4.556924373
34,34,119.6773437,4.633525477
35,35,121.1035715,4.822708599
36,36,125.7406993,5.146466675
37,37,129.5620107,5.446190716
38,38,132.6013429,5.720633154
39,39,144.8873201,6.410943366
40,40,144.7218051,6.563710189
41,41,145.6976476,6.769138495
42,42,146.0346383,6.946337882
43,43,145.8545477,7.099115153
44,44,144.5574861,7.195892562
45,45,143.8372332,7.319151247
46,46,142.7654428,7.422539615
47,47,141.2235037,7.498593115
48,48,139.366778,7.554172703
49,49,137.7468748,7.618743076
50,50,143.0591008,8.070812101
51,51,141.8710099,8.160721808
52,52,144.8236263,8.4907657
53,53,144.1827023,8.612683544
54,54,143.5653883,8.734619863
55,55,143.935895,8.916382879
56,56,142.4663443,8.982944274
57,57,147.0239849,9.432954783
58,58,146.8226129,9.582449293
59,59,148.5766514,9.86128217
60,60,148.0911751,9.992877965
61,61,149.3076823,10.24012865
62,62,148.3294921,10.33712168
63,63,146.7236993,10.38751854
64,64,145.2081606,10.44085226
65,65,144.5766693,10.5553763
66,66,143.1477844,10.60940437
67,67,141.974864,10.67952517
68,68,143.207208,10.93063866
69,69,142.1679092,11.00857704
70,70,140.7309216,11.05298167
71,71,139.4208077,11.10431211
72,72,137.9498116,11.13975248
73,73,136.5365235,11.17666232
74,74,135.1793308,11.21509935
75,75,133.6305866,11.23442985
76,76,132.0799249,11.25017059
77,77,130.5776776,11.26665802
78,78,129.1318255,11.28475024
79,79,127.7179219,11.30247097
80,80,126.3468824,11.32090429
81,81,124.9486606,11.33383869
82,82,123.6202693,11.3500911
83,83,122.3648408,11.37018432
84,84,121.1126871,11.38780796
85,85,119.9266742,11.40895352
86,86,119.4829646,11.49891363
87,87,118.7093595,11.55577836
88,88,117.7409803,11.59175581
89,89,116.6848497,11.6168545
90,90,115.6205638,11.6387957
91,91,114.516411,11.65432502
92,92,113.5512432,11.68170975
93,93,112.5368532,11.70184093
94,94,116.3432435,12.22633643
95,95,115.4335185,12.25842674
96,96,114.6726728,12.30447927
97,97,113.8165815,12.33852321
98,98,113.0023649,12.37525898
99,99,112.2466659,12.41666658
100,100,111.5566427,12.46373995
101,101,110.7734073,12.4987694
102,102,110.481335,12.58802822
103,103,111.003656,12.7703321
104,104,111.806492,12.98637352
105,105,111.3703432,13.05891192
106,106,110.7898179,13.11339659
107,107,110.1987212,13.16533395
108,108,110.0842,13.27342677
109,109,109.5564061,13.33097862
110,110,108.9249605,13.37463564
111,111,108.6995938,13.46720631
112,112,108.2466278,13.53082848
113,113,109.2261557,13.77409486
114,114,109.0702952,13.87509286
115,115,108.4810275,13.92013184
116,116,108.7801739,14.07884994
117,117,108.4987197,14.1624435
118,118,108.3617018,14.26442756
119,119,107.9450666,14.32899115
120,120,107.6396158,14.40751494
121,121,107.2121602,14.46889772
122,122,107.02887,14.56255643
123,123,106.8736365,14.6596581
124,124,106.4903081,14.72487667
125,125,105.9956238,14.77372633
126,126,106.215179,14.92182272
127,127,106.0262772,15.01257022
128,128,105.887457,15.11004641
129,129,105.7471024,15.20699481
130,130,105.5983816,15.30242034
131,131,105.0957334,15.34583718
132,132,104.5074622,15.37554478
133,133,104.5508459,15.49758114
134,134,104.3291121,15.58012183
135,135,103.8305944,15.6205319
136,136,103.2688058,15.65025044
137,137,102.7061329,15.67859109
138,138,102.2592091,15.72348458
139,139,101.8438063,15.77227088
140,140,101.6045639,15.8476145
141,141,102.4453578,16.09208054
142,142,102.4935553,16.21302921
143,143,102.1589995,16.27311497
144,144,101.8521566,16.33690565
145,145,101.3470289,16.36799361
146,146,100.8849239,16.40495996
147,147,100.382382,16.43428377
148,148,99.8318898,16.45459246
149,149,99.29265855,16.47555175
150,150,98.98820918,16.53453494
151,151,98.55181332,16.57065888
152,152,98.07816431,16.59951232
153,153,97.667532,16.63805302
154,154,97.30948354,16.68470127
155,155,96.87857256,16.71798376
156,156,96.437777,16.74859623
157,157,96.02364608,16.78289389
158,158,95.56023744,16.80760813
159,159,95.1126439,16.83409627
160,160,94.65877731,16.85847693
161,161,94.19017861,16.87921342
162,162,93.71069679,16.89695086
163,163,93.22094895,16.91176508
164,164,92.73369213,16.92595044
165,165,92.26525927,16.94251442
166,166,92.03017415,17.00114943
167,167,91.71882188,17.04509079
168,168,91.39468418,17.08595313
169,169,91.06177623,17.12444907
170,170,90.67217536,17.1514845
171,171,90.26716567,17.17472621
172,172,89.82303552,17.18958534
173,173,89.37776379,17.20324215
174,174,88.93450756,17.21630401
175,175,88.5032599,17.23072317
176,176,88.08389835,17.2465155
177,177,87.65477858,17.25945861
178,178,87.23571914,17.27344439
179,179,86.83451321,17.29005794
180,180,86.49112852,17.31736091
181,181,86.12173935,17.33866876
182,182,85.7414387,17.35695053
183,183,85.35437555,17.37301449
184,184,84.95032207,17.38474511
185,185,84.53723116,17.39372234
186,186,84.12519306,17.40200343
187,187,83.74462068,17.41591669
188,188,85.74105522,17.9259507
189,189,85.35892996,17.94048307
190,190,84.98566612,17.95604229
191,191,85.18885554,18.09320826
192,192,85.40863681,18.23436604
193,193,85.97495255,18.45037698
194,194,85.80433884,18.50867929
195,195,85.51136342,18.54007437
196,196,85.18646206,18.56386397
197,197,84.84864934,18.58410682
198,198,84.52666536,18.60708673
199,199,84.1880505,18.62567489
200,200,83.8547983,18.64470626
201,201,83.50641572,18.65961944
202,202,83.17364768,18.67726823
203,203,82.85176508,18.69663725
204,204,82.51216013,18.71127525
205,205,82.18151758,18.72720423
206,206,81.86150838,18.74483654
207,207,81.53628887,18.76056204
208,208,81.29876106,18.79584188
209,209,81.27189497,18.87953312
210,210,81.08121689,18.92493005
211,211,80.97339338,18.98933561
212,212,80.94365995,19.07190218
213,213,80.71512574,19.10734171
214,214,80.60128281,19.16955288
215,215,80.43351192,19.21862674
216,216,80.35824664,19.28953487
217,217,80.13888651,19.32552794
218,218,79.89426405,19.35491574
219,219,79.64476004,19.38257435
220,220,79.36058616,19.40120524
221,221,79.05508186,19.41396922
222,222,78.76050291,19.42875238
223,223,78.46100513,19.44166499
224,224,78.15982629,19.45349659
225,225,77.87442918,19.46860729
226,226,77.59666407,19.48500304
227,227,77.38165069,19.51661102
228,228,77.22712514,19.56306599
229,229,76.97551085,19.58447732
230,230,76.72389472,19.60533151
231,231,76.47669006,19.62676117
232,232,76.18575971,19.63637391
233,233,75.91690766,19.65105796
234,234,75.65205222,19.66618614
235,235,75.36042763,19.67373996
236,236,75.07189986,19.68146047
237,237,74.78555062,19.6891162
238,238,74.51497798,19.70030944
239,239,74.24061894,19.70989883
240,240,73.95554033,19.71602347
241,241,73.68968107,19.72666241
242,242,73.45030959,19.74383322
243,243,73.20865066,19.75985704
244,244,72.94495364,19.7693735
245,245,72.68292427,19.77876036
246,246,72.44153122,19.79320599
247,247,72.1686378,19.79847586
248,248,71.90068197,19.804502
249,249,71.85944492,19.8726341
250,250,71.70999225,19.91062838
251,251,71.47731881,19.9250933
252,252,71.2592625,19.94313431
253,253,71.03722531,19.95957437
254,254,70.79972003,19.97115996
255,255,70.59827334,19.99243139
256,256,70.35789086,20.002188
257,257,70.12692796,20.01410112
258,258,69.88177734,20.02143842
259,259,69.6677303,20.03717907
260,260,69.42702011,20.04474806
261,261,69.18698228,20.05197938
